"library","category","source_root","source_relative_path","size_bytes","sha256","is_canonical","canonical_destination_relative_path"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\时间序列\FECAttention(时序预测).pdf","4992663","A21DD4C93D94419D252EF796DE6C6ACBCE253E0EC3D6E938EAE74035E688A0D8","True","tools\module_reference_sync\pdfs\papers\ai_f\FECAttention(时序预测)__A21DD4C9.pdf"
"AI-F","guides","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\xx-former频域案例2，token mixer+ffn.pdf","335726","A3BF6BC7D990E30A11626823190BE045BA8ED054EE75B8FDF15D7CCEC34A8DBB","True","tools\module_reference_sync\pdfs\guides\ai_f\xx-former频域案例2，token_mixer+ffn__A3BF6BC7.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\论文\(arxiv2024)部分大核.pdf","6700906","A593A2C30BEC0BF54F05EC1E54994E529978F92E45D98CB8FC127A55CFDB1714","True","tools\module_reference_sync\pdfs\papers\ai_f\(arxiv2024)部分大核__A593A2C3.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\论文\(cvpr2024)SHViT.pdf","2071836","B1C64D266E023F9AF0E702789F147D69BC48E78746F94B9E159D025E3F8C0C26","True","tools\module_reference_sync\pdfs\papers\ai_f\(cvpr2024)SHViT__B1C64D26.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\Restore-RWKV.pdf","1633701","B32546D6A4243E86C8C7BB1D72E87FC936E050F11499FED51E5CB1ED7621FEC5","True","tools\module_reference_sync\pdfs\papers\ai_f\Restore-RWKV__B32546D6.pdf"
"AI-F","guides","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\mamba论文查找.pdf","276873","B94D5398507BC1B76AE880BC1E2DCDD0774B056B77C30CCAD37D1094BFB480B9","True","tools\module_reference_sync\pdfs\guides\ai_f\mamba论文查找__B94D5398.pdf"
"AI-F","guides","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\创新思维开篇.pdf","842883","BCE2724ED9B70A6ADDDCF1B31B697364E63588F72A15894B9BDD7290CA5E34E7","True","tools\module_reference_sync\pdfs\guides\ai_f\创新思维开篇__BCE2724E.pdf"
"AI-F","guides","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\常见问题答疑.pdf","82336","D892AB08E26FEDBFEB2770D4CBF29540DC10CBE88B9C2DEB94A306CF2A0C6EAF","True","tools\module_reference_sync\pdfs\guides\ai_f\常见问题答疑__D892AB08.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\SK-VM++_Mamba assists skip-connections for medical image segmentation.pdf","3418678","DBAF4ECBE490587435B12F85261DAFDEC1C1A40E0DF9A947A055FAC90EA7090B","True","tools\module_reference_sync\pdfs\papers\ai_f\SK-VM++_Mamba_assists_skip-connections_for_medical_image_segmentation__DBAF4ECB.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\(TIP2024)CGAFusion.pdf","26873810","DC6BAE7788568CE45DBB1EFBDA13C269EBCD7ABF0ADB68AEBE35756AA2CD5098","True","tools\module_reference_sync\pdfs\papers\ai_f\(TIP2024)CGAFusion__DC6BAE77.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\ai缝合大王2025精选模块\1\1.pdf","3754233","E974236D7296C84A5C05C9DC9E4024C39ABAD71DF58388BFD838554D3D546642","True","tools\module_reference_sync\pdfs\papers\ai_f\1__E974236D.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\（CVPR2024)Less Attention.pdf","856018","F1C7AF5321AE01B468A39B5B1ABED729C490D3DFED722EFE70D9141AF1D87D9F","True","tools\module_reference_sync\pdfs\papers\ai_f\（CVPR2024)Less_Attention__F1C7AF53.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\MLLA模块\(CVPR 2024) MLLA 用于高分辨率视觉任务的类曼巴线性注意力模型.pdf","961426","F403FCC7A8ECF45313868A89267A3BFCE4397104D17FC98FCDE9BA5F356FE204","True","tools\module_reference_sync\pdfs\papers\ai_f\(CVPR_2024)_MLLA_用于高分辨率视觉任务的类曼巴线性注意力模型__F403FCC7.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\时间序列\RevIN(时序预测).pdf","1345710","F535747F34DC8F627E06D94CDBB603DBA8436FD86331582581B7AD4F11FACBE3","True","tools\module_reference_sync\pdfs\papers\ai_f\RevIN(时序预测)__F535747F.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\LAE&MSFM&RFAConv.pdf","7194091","FB063362C6BB0495C0BAB9C0EA3B779E983337E5C39764CC086226D5ECB0B858","True","tools\module_reference_sync\pdfs\papers\ai_f\LAE&MSFM&RFAConv__FB063362.pdf"
"AI-F","papers","D:\BaiduNetdiskDownload\AI-F","ai缝合大王\Skip-Attention.pdf","5235606","FD035CD98EE57C119244A51F8ACDACBE88520B0AD5153A8490ED44DDDC9A93A0","True","tools\module_reference_sync\pdfs\papers\ai_f\Skip-Attention__FD035CD9.pdf"
